#!RESULT OK
#!CONNECTION ldap://localhost:10389
#!DATE 2023-06-17T17:17:19.704
dn: dc=security,dc=example,dc=com
objectClass: top
objectClass: domain
dc: security

#!RESULT OK
#!CONNECTION ldap://localhost:10389
#!DATE 2023-06-17T17:17:19.947
dn: ou=services,dc=security,dc=example,dc=com
objectClass: top
objectClass: organizationalUnit
ou: services

#!RESULT OK
#!CONNECTION ldap://localhost:10389
#!DATE 2023-06-17T17:17:20.077
dn: ou=users,dc=security,dc=example,dc=com
objectClass: top
objectClass: organizationalUnit
ou: users
ou: users
